PERMNO,date,TICKER,PRC,ewretd
91233,20060525,MA,46,0.012579
91233,20060526,MA,44.93,0.00656
91233,20060530,MA,44,-0.012826
91233,20060531,MA,44.94,0.008139
91233,20060601,MA,47.51,0.012271
91233,20060602,MA,46.99,0.004354
91233,20060605,MA,49.15,-0.016441
91233,20060606,MA,48.3,-0.006274
91233,20060607,MA,47.6,-0.003708
91233,20060608,MA,47.72,-0.006287
91233,20060609,MA,47.78,-0.001844
91233,20060612,MA,46.95,-0.018169
91233,20060613,MA,45.5,-0.016883
91233,20060614,MA,45.12,0.003091
91233,20060615,MA,45.95,0.02447
91233,20060616,MA,45.02,-0.005124
91233,20060619,MA,44.34,-0.010771
91233,20060620,MA,44.02,-0.001002
91233,20060621,MA,45.3,0.01132
91233,20060622,MA,46.6,-0.002921
91233,20060623,MA,46.95,0.002375
91233,20060626,MA,47.5,0.004767
91233,20060627,MA,47.31,-0.010046
91233,20060628,MA,46.96,0.002077
91233,20060629,MA,48,0.022214
91233,20060630,MA,48,0.00785
91233,20060703,MA,47.3,0.006226
91233,20060705,MA,47.6,-0.007863
91233,20060706,MA,46.8,0.002125
91233,20060707,MA,46.12,-0.008871
91233,20060710,MA,46.49,-0.00219
91233,20060711,MA,46.35,0.003267
91233,20060712,MA,45.55,-0.009838
91233,20060713,MA,44.72,-0.01484
91233,20060714,MA,43.95,-0.006891
91233,20060717,MA,43.99,-0.006947
91233,20060718,MA,43.9,0.000127
91233,20060719,MA,45.28,0.019059
91233,20060720,MA,45.55,-0.013452
91233,20060721,MA,45.28,-0.010792
91233,20060724,MA,45,0.015016
91233,20060725,MA,46.08,0.00622
91233,20060726,MA,46.68,0.000631
91233,20060727,MA,46.52,-0.005409
91233,20060728,MA,46.3,0.011783
91233,20060731,MA,45.87,0.002443
91233,20060801,MA,45,-0.00766
91233,20060802,MA,50.02,0.006878
91233,20060803,MA,49.99,0.003799
91233,20060804,MA,50.05,-0.00198
91233,20060807,MA,51.1,-0.004334
91233,20060808,MA,52.57,-0.006171
91233,20060809,MA,52.85,-0.005288
91233,20060810,MA,53.56,0.002548
91233,20060811,MA,53.68,-0.006284
91233,20060814,MA,54.23,0.000266
91233,20060815,MA,54.49,0.012949
91233,20060816,MA,54.27,0.009995
91233,20060817,MA,53.46,0.003179
91233,20060818,MA,53.45,0.002935
91233,20060821,MA,54.26,-0.003393
91233,20060822,MA,55.23,0.002716
91233,20060823,MA,54.6,-0.00609
91233,20060824,MA,55.65,0.000662
91233,20060825,MA,55,0.001549
91233,20060828,MA,55.02,0.005269
91233,20060829,MA,55.35,0.006953
91233,20060830,MA,55.25,0.005191
91233,20060831,MA,55.9,0.003152
91233,20060901,MA,56.55,0.00361
91233,20060905,MA,56.85,0.004396
